# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Thu Jan 15 17:15:18 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 9.69897 0.9499999881 2.4618121868    0.949 -0.076  3.7569  4.471    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -6.29e-14      0.00 7.426e-01 2.440e-01 2.359e-03 6.449e-04 5.864e-03 -1.000 1.335e-02 4.959 5.992 5.733 5.033 4.613 4.272 3.832 3.481 3.435
0.01471 0.00000 9.69897 0.9528847933 2.4624893101    0.952 -0.068  3.7577  4.468    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -6.42e-14      0.00 7.430e-01 2.437e-01 2.356e-03 6.442e-04 5.857e-03 -1.000 1.333e-02 4.940 5.959 5.708 5.011 4.593 4.254 3.816 3.466 3.421
0.01471 0.00000 9.69897 0.9682344198 2.4660142902    0.968 -0.026  3.7620  4.449    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.16e-14      0.00 7.449e-01 2.418e-01 2.340e-03 6.400e-04 5.820e-03 -1.000 1.327e-02 4.834 5.791 5.575 4.896 4.490 4.157 3.730 3.390 3.347
0.01471 0.00000 9.69897 0.9827630520 2.4692343467    0.982  0.014  3.7659  4.432    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.96e-14      0.00 7.468e-01 2.400e-01 2.325e-03 6.359e-04 5.783e-03 -1.000 1.320e-02 4.735 5.637 5.451 4.789 4.392 4.066 3.650 3.318 3.277
0.01471 0.00000 9.69897 0.9971202612 2.4723106317    0.997  0.053  3.7695  4.413    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -8.83e-14      0.00 7.488e-01 2.381e-01 2.309e-03 6.316e-04 5.745e-03 -1.000 1.312e-02 4.636 5.488 5.330 4.684 4.296 3.976 3.569 3.246 3.206
0.01471 0.00000 9.69897 1.0000000000 2.4729154477    1.000  0.061  3.7703  4.410    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -9.02e-14      0.00 7.492e-01 2.377e-01 2.306e-03 6.307e-04 5.737e-03 -1.000 1.310e-02 4.617 5.459 5.305 4.662 4.277 3.958 3.553 3.231 3.192
0.01471 0.00000 9.69897 1.0122416019 2.4754423765    1.012  0.095  3.7731  4.392    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -9.7e-14      0.00 7.515e-01 2.355e-01 2.288e-03 6.259e-04 5.694e-03 -1.000 1.299e-02 4.532 5.337 5.203 4.573 4.195 3.880 3.483 3.168 3.129
0.01471 0.00000 9.69897 1.0261754990 2.4782344251    1.026  0.134  3.7762  4.372    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-13      0.00 7.542e-01 2.330e-01 2.266e-03 6.201e-04 5.642e-03 -1.000 1.286e-02 4.436 5.202 5.088 4.471 4.101 3.792 3.402 3.094 3.057
0.01471 0.00000 9.69897 1.0397922993 2.4808799599    1.039  0.171  3.7790  4.351    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.15e-13      0.00 7.569e-01 2.304e-01 2.244e-03 6.142e-04 5.589e-03 -1.000 1.272e-02 4.342 5.072 4.976 4.373 4.009 3.704 3.323 3.020 2.984
0.01471 0.00000 9.69897 1.0499999523 2.4828114860    1.049  0.200  3.7810  4.335    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-13      0.00 7.590e-01 2.283e-01 2.227e-03 6.096e-04 5.548e-03 -1.000 1.264e-02 4.271 4.979 4.894 4.299 3.940 3.639 3.262 2.963 2.929
0.01471 0.00000 9.69897 1.0531873703 2.4834058051    1.052  0.208  3.7815  4.330    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.25e-13      0.00 7.599e-01 2.275e-01 2.220e-03 6.077e-04 5.530e-03 -1.000 1.260e-02 4.249 4.951 4.869 4.276 3.919 3.618 3.243 2.946 2.911
0.01471 0.00000 9.69897 1.0660396814 2.4857608106    1.065  0.243  3.7836  4.308    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-13      0.00 7.636e-01 2.239e-01 2.191e-03 5.999e-04 5.460e-03 -1.000 1.248e-02 4.162 4.842 4.770 4.186 3.834 3.537 3.166 2.873 2.839
