hostname,mass_msun,age_gyr,feh,chi2,n_bands,dist_pc,st_met_in,age_flag,chi2_flag,reliable
TOI-1685,0.4818,0.1982,0.1429,1.3061,10,37.6,0.01,ok,ok,True
HAT-P-58,0.9727,10.0,-0.0857,285.9092,10,519.95,-0.224,upper_boundary,high,False
WASP-100,1.3545,2.4214,-0.0531,0.8692,10,354.87,-0.03,ok,ok,True
HAT-P-64,1.0273,8.4632,-0.151,196.4096,10,668.87,-0.113,ok,high,False
TOI-3714,0.5091,0.0728,0.0449,49.9137,10,112.52,0.1,ok,high,False
HATS-76,0.6727,0.0441,0.1755,499.9376,10,388.45,0.322,ok,high,False
NGTS-23,1.0273,6.0619,-0.151,4.9298,10,1011.01,-0.26,ok,ok,True
K2-395,0.7273,0.0316,-0.151,223.1715,10,285.87,-0.033,lower_boundary,high,False
TOI-2447,1.0273,3.3805,0.0776,1.0899,10,149.02,0.18,ok,ok,True
TOI-2154,1.0273,7.7858,-0.0857,21.509,10,296.22,0.011,ok,high,False
K2-394,0.6182,0.0616,-0.249,1.1383,10,97.58,-0.388,ok,ok,True
TOI-2719,1.0818,8.4632,0.1429,127.9507,10,600.03,0.27,ok,high,False
WASP-141,1.0545,9.1996,0.3388,122.8858,10,504.94,0.29,ok,high,False
WASP-82,1.3,3.6747,0.0122,0.7773,10,273.35,0.12,ok,ok,True
TOI-813,1.2182,4.7197,0.1102,0.4024,10,262.47,0.1,ok,ok,True
NGTS-17,1.0273,9.1996,0.2735,392.418,10,991.26,0.15,ok,high,False
NGTS-15,1.0,0.0316,0.2735,455.1056,10,762.04,0.15,lower_boundary,high,False
TOI-157,0.9727,9.1996,0.3714,52.5311,10,353.8,0.24,ok,high,False
K2-232,1.1091,3.9944,0.2408,2.7465,10,129.22,0.1,ok,ok,True
TOI-216,0.8364,9.1996,0.4367,28.4962,10,177.72,0.32,ok,high,False
TOI-5350,0.9727,10.0,0.1429,81.4778,10,280.89,0.044,upper_boundary,high,False
HAT-P-62,1.0,9.1996,0.5347,139.4927,10,350.48,0.414,ok,high,False
HAT-P-70,1.6545,1.2422,-0.0857,15.5557,10,315.88,-0.059,ok,high,False
K2-396,0.9182,0.0316,0.2735,93.1028,10,272.84,0.237,lower_boundary,high,False
TOI-871,0.7545,0.0522,-0.0531,0.8171,10,67.81,-0.07,ok,ok,True
WASP-61,1.0,7.7858,-0.2163,85.9474,10,476.94,-0.1,ok,high,False
HAT-P-61,0.9727,0.0316,0.3061,254.6113,10,340.29,0.194,lower_boundary,high,False
NGTS-6,0.8364,0.0316,0.2408,217.3772,10,303.93,0.11,lower_boundary,high,False
TOI-269,0.3455,0.0728,-0.3796,4.5097,10,56.8,-0.29,ok,ok,True
WASP-35,0.9455,10.0,-0.0204,39.2189,10,201.33,-0.15,upper_boundary,high,False
K2-412,0.8909,0.0316,0.1429,90.5959,10,668.62,0.014,lower_boundary,high,False
K2-291,0.9727,1.1428,0.1102,0.388,10,89.27,0.08,ok,ok,True
TOI-942,0.8364,0.0316,-0.1184,40.1838,10,150.9,-0.221,lower_boundary,high,False
K2-260,1.1636,6.5893,0.2082,124.6208,10,667.94,0.334,ok,high,False
TOI-4137,1.1091,7.7858,0.2735,135.1969,10,335.39,0.182,ok,high,False
KELT-7,1.3818,2.2275,-0.0204,1.0373,10,134.9,0.0,ok,ok,True
EPIC 246851721,1.1636,6.5893,0.2408,40.9526,10,373.37,0.141,ok,high,False
K2-284,0.6182,4.7197,-0.0531,16.4797,10,106.05,0.0,ok,high,False
TOI-2458,1.0545,6.0619,-0.0531,3.6221,10,111.06,-0.1,ok,ok,True
TOI-163,1.3545,3.11,0.3388,40.4056,10,404.65,0.22,ok,high,False
K2-397,0.9727,0.0316,0.2408,54.7672,10,197.84,0.11,lower_boundary,high,False
TOI-4364,0.4818,0.2154,0.0776,0.6577,10,43.83,0.148,ok,ok,True
TOI-199,0.9455,0.1982,0.3061,1.2666,10,101.65,0.22,ok,ok,True
NGTS-31,1.0,10.0,0.1429,341.2282,10,645.55,0.0,upper_boundary,high,False
HATS-43,0.8909,0.0316,0.0776,235.7327,10,357.97,0.05,lower_boundary,high,False
TOI-2338,0.9727,9.1996,0.3388,103.265,10,305.01,0.22,ok,high,False
HD 35843,0.9182,3.3805,-0.151,1.089,10,69.26,-0.27,ok,ok,True
TOI-421,0.8636,0.0374,-0.0204,0.9192,10,74.85,-0.044,ok,ok,True
TOI-544,0.6182,8.4632,-0.2163,0.7053,10,40.86,-0.17,ok,ok,True
NGTS-1,0.5909,0.0616,-0.0204,235.6313,10,216.11,0.0,ok,high,False
TOI-431,0.8091,2.4214,0.1755,0.915,10,32.61,0.2,ok,ok,True
TOI-4603,1.6273,2.4214,0.4694,0.9047,10,222.62,0.342,ok,ok,True
TIC 46432937,0.5636,0.2342,0.1755,21.5581,10,90.34,0.323,ok,high,False
TOI-2796,0.9727,10.0,0.3714,108.1954,10,346.35,0.239,upper_boundary,high,False
HD 39091,1.0273,5.5767,-0.0204,0.2765,6,18.29,0.09,ok,ok,True
HATS-44,0.8909,0.0316,0.2735,315.5276,10,433.11,0.32,lower_boundary,high,False
TOI-532,0.6455,0.067,0.2408,94.998,10,134.6,0.338,ok,high,False
TOI-892,1.0818,7.7858,0.2082,54.8349,10,330.94,0.24,ok,high,False
TOI-2525,0.8636,0.0316,0.1429,198.6264,10,395.97,0.14,lower_boundary,high,False
WASP-62,1.1909,2.2275,0.1429,1.3146,10,175.47,0.04,ok,ok,True
TOI-2570,0.9727,10.0,0.3388,94.5057,10,355.13,0.191,upper_boundary,high,False
TOI-201,1.3545,0.0344,0.3388,0.5831,10,112.08,0.24,ok,ok,True
WASP-160 B,0.9455,0.0316,0.3714,212.7943,10,288.94,0.27,lower_boundary,high,False
TOI-2346,1.0818,7.1626,0.1102,66.823,10,436.56,-0.03,ok,high,False
HATS-6,0.6182,0.0522,0.0776,118.4722,10,168.62,0.2,ok,high,False
TOI-480,1.1909,3.9944,0.0449,0.4576,10,54.22,0.164,ok,ok,True
TOI-2364,0.8909,10.0,0.4694,69.1254,10,216.45,0.344,upper_boundary,high,False
TOI-904,0.5364,0.1677,-0.0531,0.5994,10,46.06,0.022,ok,ok,True
